"",labor_reg_list[[1]],labor_reg_list[[2]],labor_reg_list[[3]],labor_reg_list[[4]],labor_reg_list[[5]],labor_reg_list[[6]],labor_reg_list[[..,labor_reg_list[[8]],labor_reg_list[[9]],edu_reg_list[[1]],edu_reg_list[[2]],edu_reg_list[[3]],edu_reg_list[[4]],edu_reg_list[[5]],edu_reg_list[[6]]
Dependent Var.:,income,income,income,log_income,log_income,log_income,work,work,work,highest_edu,highest_edu,highest_edu,bachelor,bachelor,bachelor
 , , , , , , , , , , , , , , , 
CP,"-16,644.0*** (3,733.5)","-16,429.7*** (3,739.9)","-13,575.5*** (3,726.0)",-0.0312*** (0.0075),-0.0302*** (0.0075),-0.0236** (0.0075),-0.0204** (0.0062),-0.0204*** (0.0062),-0.0195** (0.0062),-0.1307*** (0.0345),-0.1312*** (0.0343),-0.0661* (0.0331),-0.0250*** (0.0065),-0.0252*** (0.0065),-0.0139* (0.0063)
male,  ,"18,109.2*** (404.4)","18,244.9*** (400.6)",  ,0.0509*** (0.0008),0.0506*** (0.0008),  ,-0.0233*** (0.0006),-0.0231*** (0.0006),  ,-0.3358*** (0.0037),-0.3345*** (0.0036),  ,-0.0776*** (0.0007),-0.0773*** (0.0007)
patient_male,  ,"-1,806.3*** (405.6)","-1,568.9*** (401.8)",  ,-0.0034*** (0.0008),-0.0030*** (0.0008),  ,-0.0018** (0.0006),-0.0017** (0.0006),  ,-0.0261*** (0.0037),-0.0220*** (0.0036),  ,-0.0049*** (0.0007),-0.0042*** (0.0007)
Fixed-Effects:,----------------------,----------------------,----------------------,-------------------,-------------------,-------------------,------------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes
mother_edu,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes
__________________,______________________,______________________,______________________,___________________,___________________,___________________,__________________,___________________,___________________,___________________,___________________,___________________,___________________,___________________,___________________
S.E. type,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,Heteroskedast.-rob.,Heteroskedast.-rob.,Heteroskedast.-rob.,Heteroskedast.-rob.,Heteroskedast.-rob.,Heteroskedast.-rob.
Observations,"14,920,899","14,920,899","14,920,192","10,611,356","10,611,356","10,610,990","14,920,899","14,920,899","14,920,192","1,627,793","1,627,793","1,627,724","1,627,793","1,627,793","1,627,724"
R2,0.05213,0.05321,0.06442,0.10085,0.10275,0.11463,0.00453,0.00520,0.00941,0.06438,0.06899,0.13967,0.07417,0.08092,0.13987
Within R2,9.42e-6,0.00115,0.00117,7.59e-6,0.00212,0.00212,5.03e-6,0.00067,0.00066,8.88e-6,0.00494,0.00529,9.01e-6,0.00730,0.00774
