"",income_reg_list[[1]],income_reg_list[[2]],log_income_reg_li..,log_income_reg_li..,work_reg_list[[1]],work_reg_list[[2]],edu_reg_list[[1]],edu_reg_list[[2]],edu_reg_list[[3]],edu_reg_list[[4]]
Dependent Var.:,income,income,log_income,log_income,work,work,highest_edu,highest_edu,bachelor,bachelor
 , , , , , , , , , , 
CP,"-14,458.8*** (3,954.3)","-12,137.2** (3,933.6)",-0.0268*** (0.0081),-0.0232** (0.0081),-0.0183** (0.0068),-0.0164* (0.0068),-0.1140** (0.0382),-0.0592 (0.0369),-0.0212** (0.0075),-0.0117 (0.0073)
male,"17,787.2*** (425.1)","17,977.3*** (421.6)",0.0565*** (0.0008),0.0565*** (0.0008),-0.0242*** (0.0007),-0.0240*** (0.0007),-0.3999*** (0.0042),-0.3969*** (0.0040),-0.0854*** (0.0008),-0.0849*** (0.0008)
patient_male,"-1,857.3*** (426.4)","-1,678.0*** (422.9)",-0.0033*** (0.0008),-0.0031*** (0.0008),-0.0024*** (0.0007),-0.0022** (0.0007),-0.0320*** (0.0042),-0.0293*** (0.0041),-0.0057*** (0.0008),-0.0052*** (0.0008)
Fixed-Effects:,----------------------,---------------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
__________________,______________________,_____________________,___________________,___________________,___________________,___________________,___________________,___________________,___________________,___________________
S.E. type,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,Heteroskedast.-rob.,Heteroskedast.-rob.,Heteroskedast.-rob.,Heteroskedast.-rob.
Observations,"12,483,828","12,483,828","8,908,267","8,908,267","12,483,828","12,483,828","1,323,932","1,323,932","1,323,932","1,323,932"
R2,0.04827,0.05848,0.09767,0.10470,0.00707,0.00994,0.06298,0.12053,0.07369,0.12040
Within R2,0.00123,0.00127,0.00274,0.00276,0.00073,0.00072,0.00686,0.00719,0.00832,0.00865
