"",income_reg_list[[1]],income_reg_list[[..,log_income_reg_li..,log_income_reg_li..,work_reg_list[[1]],work_reg_list[[2]],edu_reg_list[[1]],edu_reg_list[[2]],edu_reg_list[[3]],edu_reg_list[[4]]
Dependent Var.:,income,income,log_income,log_income,work,work,highest_edu,highest_edu,bachelor,bachelor
 , , , , , , , , , , 
CP,"-13,119.2* (6,144.3)","-9,194.6 (6,125.1)",-0.0291* (0.0122),-0.0199 (0.0121),-0.0181. (0.0100),-0.0180. (0.0100),-0.1419* (0.0562),-0.0483 (0.0538),-0.0323** (0.0106),-0.0161 (0.0103)
male,"18,158.6*** (404.8)","18,295.9*** (401.0)",0.0509*** (0.0008),0.0506*** (0.0008),-0.0233*** (0.0006),-0.0231*** (0.0006),-0.3358*** (0.0037),-0.3344*** (0.0036),-0.0776*** (0.0007),-0.0773*** (0.0007)
patient_male,"-1,811.3*** (406.0)","-1,570.2*** (402.1)",-0.0035*** (0.0008),-0.0030*** (0.0008),-0.0018** (0.0006),-0.0017** (0.0006),-0.0266*** (0.0038),-0.0223*** (0.0036),-0.0049*** (0.0007),-0.0042*** (0.0007)
Fixed-Effects:,--------------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
__________________,____________________,___________________,___________________,___________________,___________________,___________________,___________________,___________________,___________________,___________________
S.E. type,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,Heteroskedast.-rob.,Heteroskedast.-rob.,Heteroskedast.-rob.,Heteroskedast.-rob.
Observations,"14,898,875","14,898,176","10,596,027","10,595,666","14,898,875","14,898,176","1,624,887","1,624,820","1,624,887","1,624,820"
R2,0.05321,0.06442,0.10276,0.11466,0.00519,0.00939,0.06896,0.13964,0.08091,0.13986
Within R2,0.00115,0.00117,0.00212,0.00212,0.00067,0.00066,0.00493,0.00528,0.00730,0.00774
